CASRN,LD50,Compound name,Binary,GHS,Set,SMILES
2633-54-7,1380,Trichlorometaphos-3,1.0,4,ms,CCOP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl
8001-50-1,20,Strobane,1.0,1,ms,C=C1C(C)(C)C2(Cl)C(Cl)C1(Cl)C(Cl)(Cl)C2(Cl)Cl
60-34-4,183,Monomethylhydrazine,1.0,2,ms,CNN
78-59-1,1390,Isophorone,1.0,4,ms,CC1=CC(=O)CC(C)(C)C1
556-67-2,1770,Octamethylcyclotetrasiloxane,1.0,4,ms,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1
25311-71-1,188,Isofenphos [BSI:ISO],1.0,2,ms,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C
13356-08-6,1000,Fenbutatin oxide [BSI:ISO],1.0,4,ms,CC(C)([CH2][Sn]([CH2]C(C)(C)c1ccccc1)([CH2]C(C)(C)c1ccccc1)[O][Sn]([CH2]C(C)(C)c1ccccc1)([CH2]C(C)(C)c1ccccc1)[CH2]C(C)(C)c1ccccc1)c1ccccc1
7526-26-3,569,diphenyl methylphosphonate,1.0,3,ms,CP(=O)(Oc1ccccc1)Oc1ccccc1
25201-35-8,1800,Pentachloroacetophenone,1.0,4,ms,CC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
79-06-1,400,Acrylamide,1.0,3,ms,C=CC(N)=O
137-42-8,636,Metam-sodium [ISO],1.0,3,ms,CNC(=S)S
107-49-3,2,TEPP [BSI:ISO],1.0,1,ms,CCOP(=O)(OCC)OP(=O)(OCC)OCC
3244-90-4,1800,Aspon,1.0,4,ms,CCCOP(=S)(OCCC)OP(=S)(OCCC)OCCC
,150,Dinoterb,1.0,2,ms,CC(C)(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
2032-59-9,275,Aminocarb [BSI:ISO],1.0,3,ms,CNC(=O)Oc1ccc(N(C)C)c(C)c1
95-16-9,933,"1,3-benzothiazole",1.0,3,ms,c1ccc2scnc2c1
2310-17-0,960,Phosalone,1.0,3,ms,CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21
2897-46-3,500,"Stannane, acetoxytrihexyl-",1.0,3,ms,CCCCC[CH2][Sn]([CH2]CCCCC)([CH2]CCCCC)[CH2]C(=O)O
297-97-2,8,Thionazin [BSI:ISO],1.0,1,ms,CCOP(=S)(OCC)Oc1cnccn1
114-26-1,800,Propoxur,1.0,3,ms,CNC(=O)Oc1ccccc1OC(C)C
14255-88-0,700,Fenazaflor [ISO],1.0,3,ms,O=C(Oc1ccccc1)n1c(C(F)(F)F)nc2cc(Cl)c(Cl)cc21
108-95-2,669,Phenol,1.0,3,ms,Oc1ccccc1
75-98-9,1900,,1.0,4,ms,CC(C)(C)C(=O)O
106-44-5,750,,1.0,3,ms,Cc1ccc(O)cc1
60029-23-4,1455,Trimorfamid,1.0,4,ms,O=CNC(N1CCOCC1)C(Cl)(Cl)Cl
28616-48-0,10,,1.0,1,ms,CCOP(=O)(OP(=O)(OCC)N(C)C)N(C)C
87-86-5,96,Pentachlorophenol [BSI:ISO],1.0,2,ms,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
877397-65-4,1000,-,1.0,4,ms,CC(O)c1c(Cl)ccc(F)c1Cl
2674-91-1,820,Oxydeprofos [ISO],1.0,3,ms,CCS(=O)CC(C)SP(=O)(OC)OC
21923-23-9,90,Chlorthiophos,1.0,2,ms,CCOP(=S)(OCC)Oc1cc(Cl)c(SC)cc1Cl
13360-57-1,527,dimethylsulfamoyl chloride,1.0,3,ms,CN(C)S(=O)(=O)Cl
100-47-0,1200,Benzonitrile,1.0,4,ms,N#Cc1ccccc1
299-84-3,1380,,1.0,4,ms,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl
52-85-7,400,,1.0,3,ms,COP(=S)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1
38524-82-2,250,Trifenofos [ANSI:ISO],1.0,3,ms,CCCSP(=O)(OCC)Oc1c(Cl)cc(Cl)cc1Cl
58-89-9,971,Lindane,1.0,3,ms,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
52112-09-1,1000,Tin dibutylditrifluoroacetate,1.0,4,ms,CCC[CH2][Sn]([CH2]CCC)([O]C(=O)C(F)(F)F)[O]C(=O)C(F)(F)F
4342-36-3,503,Tributyltin benzoate,1.0,3,ms,CCC[CH2][Sn]([CH2]CCC)([CH2]CCC)[O]C(=O)c1ccccc1
83-79-4,940,Rotenone [BSI:ISO],1.0,3,ms,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1
112-56-1,250,beta-Butoxy-beta'-thiocyano diethyl ether,1.0,3,ms,CCCCOCCOCCSC#N
82-66-6,200,,1.0,3,ms,O=C1c2ccccc2C(=O)C1C(=O)C(c1ccccc1)c1ccccc1
13593-03-8,300,Quinalphos [BSI:ISO],1.0,3,ms,CCOP(=S)(OCC)Oc1cnc2ccccc2n1
79-08-3,100,Bromoacetic acid,1.0,2,ms,O=C(O)CBr
98-73-7,300,p-tert-Butylbenzoic acid,1.0,3,ms,CC(C)(C)c1ccc(C(=O)O)cc1
85712-07-8,294,"Sodium 2,3,5,6-tetrachlorophenolate",1.0,3,ms,Oc1c(Cl)c(Cl)cc(Cl)c1Cl
90035-08-8,3,Flocoumafen [BSI:ISO],1.0,1,ms,O=c1oc2ccccc2c(O)c1C1CC(c2ccc(OCc3ccc(C(F)(F)F)cc3)cc2)Cc2ccccc21
150-50-5,615,Merphos,1.0,3,ms,CCCCSP(SCCCC)SCCCC
2595-54-2,380,Mecarbam [BSI:ISO],1.0,3,ms,CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC
5827-05-04,28,Aphidan,1.0,1,ms,CCS(=O)CSP(=S)(OC(C)C)OC(C)C
6923-22-4,112,Monocrotophos [BSI:ISO],1.0,2,ms,CNC(=O)C=C(C)OP(=O)(OC)OC
88-29-9,584,Versalide,1.0,3,ms,CCc1cc2c(cc1C(C)=O)C(C)(C)CCC2(C)C
497-56-3,20,,1.0,1,ms,Cc1c(O)cc([N+](=O)[O-])cc1[N+](=O)[O-]
105-67-9,1040,"2,4-Dimethylphenol",1.0,4,ms,Cc1ccc(O)c(C)c1
107-59-5,1414,tert-butyl 2-chloroacetate,1.0,4,ms,CC(C)(C)OC(=O)CCl
944-22-9,147,Fonofos [ISO],1.0,2,ms,CCOP(=S)(CC)Sc1ccccc1
4824-78-6,1000,Bromophos-ethyl [BSI:ISO],1.0,4,ms,CCOP(=S)(OCC)Oc1cc(Cl)c(Br)cc1Cl
